DATE,CSUSHPISA,Year,Month,GDP,Num_Vacant_House,Income,MORTGAGE30US,GDP Growth rate,Construstion material cost
2014-05-01,163.66,2014,5,17613.748,18202.666666666668,66070.0,4.29,7.366666666666667,214.3
2014-06-01,164.062,2014,6,17708.988,18186.333333333332,66362.5,4.264117647058823,7.033333333333333,214.5
2014-07-01,164.577,2014,7,17804.228,18170.0,66655.0,4.238235294117647,6.7,214.8
2014-08-01,165.215,2014,8,17840.178333333333,17765.333333333332,66947.5,4.212352941176471,5.266666666666667,215.5
2014-09-01,165.905,2014,9,17876.128666666667,17360.666666666668,67240.0,4.186470588235294,3.833333333333333,215.7
2014-10-01,166.642,2014,10,17912.079,16956.0,67532.5,4.160588235294117,2.4,215.9
2014-11-01,167.335,2014,11,17962.562333333335,17138.0,67825.0,4.134705882352941,2.7333333333333334,215.8
2014-12-01,168.05,2014,12,18013.045666666665,17320.0,68117.5,4.108823529411765,3.0666666666666664,215.5
2015-01-01,168.634,2015,1,18063.529,17502.0,68410.0,4.082941176470588,3.4,215.8
2015-02-01,169.13,2015,2,18135.613999999998,17461.0,68612.5,4.057058823529411,3.9,215.3
2015-03-01,169.8,2015,3,18207.699,17420.0,68815.0,4.031176470588235,4.4,215.0
2015-04-01,170.298,2015,4,18279.784,17379.0,69017.5,4.005294117647059,4.9,214.5
2015-05-01,170.881,2015,5,18320.398,17422.666666666668,69220.0,3.9794117647058824,4.166666666666667,213.7
2015-06-01,171.469,2015,6,18361.012,17466.333333333332,69422.5,3.953529411764706,3.4333333333333336,213.7
2015-07-01,172.13,2015,7,18401.626,17510.0,69625.0,3.9276470588235295,2.7,213.7
2015-08-01,172.937,2015,8,18412.796333333332,17436.0,69827.5,3.901764705882353,2.0333333333333337,213.3
2015-09-01,173.828,2015,9,18423.966666666667,17362.0,70030.0,3.8758823529411766,1.366666666666667,212.5
2015-10-01,174.792,2015,10,18435.137,17288.0,70232.5,3.85,0.7,212.4
2015-11-01,175.739,2015,11,18465.40233333333,17444.666666666668,70435.0,3.8145454545454545,1.1333333333333333,211.7
2015-12-01,176.543,2015,12,18495.667666666668,17601.333333333332,70637.5,3.7790909090909093,1.5666666666666667,210.9
2016-01-01,177.274,2016,1,18525.933,17758.0,70840.0,3.7436363636363637,2.0,211.4
2016-02-01,177.649,2016,2,18587.856,17594.666666666668,70944.16666666667,3.708181818181818,2.6999999999999997,211.3
2016-03-01,178.164,2016,3,18649.779000000002,17431.333333333332,71048.33333333333,3.672727272727273,3.3999999999999995,211.6
2016-04-01,178.767,2016,4,18711.702,17268.0,71152.5,3.637272727272727,4.1,212.7
2016-05-01,179.43,2016,5,18772.014333333333,17232.0,71256.66666666667,3.6018181818181816,4.033333333333333,213.7
2016-06-01,180.082,2016,6,18832.326666666668,17196.0,71360.83333333333,3.5663636363636364,3.9666666666666663,214.6
2016-07-01,180.832,2016,7,18892.639,17160.0,71465.0,3.5309090909090908,3.9,215.3
2016-08-01,181.852,2016,8,18958.219,17216.0,71569.16666666667,3.4954545454545456,4.0,216.0
2016-09-01,182.824,2016,9,19023.799,17272.0,71673.33333333333,3.46,4.1,215.3
2016-10-01,183.751,2016,10,19089.379,17328.0,71777.5,3.6666666666666665,4.2,214.8
2016-11-01,184.759,2016,11,19152.947333333334,17346.666666666668,71881.66666666667,3.8733333333333335,4.166666666666667,214.5
2016-12-01,185.722,2016,12,19216.515666666666,17365.333333333332,71985.83333333333,4.08,4.133333333333333,215.5
2017-01-01,186.805,2017,1,19280.084,17384.0,72090.0,4.056666666666667,4.1,217.3
2017-02-01,187.315,2017,2,19332.936999999998,17468.333333333332,72168.33333333333,4.033333333333333,3.833333333333333,218.8
2017-03-01,187.993,2017,3,19385.79,17552.666666666668,72246.66666666667,4.01,3.5666666666666664,219.7
2017-04-01,188.725,2017,4,19438.643,17637.0,72325.0,3.986666666666667,3.3,221.0
2017-05-01,189.617,2017,5,19523.29366666667,17652.666666666668,72403.33333333333,3.9633333333333334,3.9666666666666663,221.7
2017-06-01,190.51,2017,6,19607.944333333333,17668.333333333332,72481.66666666667,3.94,4.633333333333333,221.9
2017-07-01,191.452,2017,7,19692.595,17684.0,72560.0,3.975,5.3,221.9
2017-08-01,192.665,2017,8,19807.426,17394.0,72638.33333333333,4.01,5.933333333333334,222.4
2017-09-01,193.759,2017,9,19922.257,17104.0,72716.66666666667,4.045,6.566666666666666,223.1
2017-10-01,194.804,2017,10,20037.088,16814.0,72795.0,4.08,7.2,223.9
2017-11-01,195.955,2017,11,20134.243,16962.0,72873.33333333333,4.115,6.766666666666667,223.9
2017-12-01,197.172,2017,12,20231.398,17110.0,72951.66666666667,4.1499999999999995,6.333333333333334,224.1
2018-01-01,198.315,2018,1,20328.553,17258.0,73030.0,4.185,5.9,225.8
2018-02-01,199.232,2018,2,20412.672666666665,17192.0,73465.0,4.22,5.633333333333334,228.7
2018-03-01,199.966,2018,3,20496.792333333335,17126.0,73900.0,4.43,5.366666666666666,231.3
2018-04-01,200.658,2018,4,20580.912,17060.0,74335.0,4.4799999999999995,5.1,232.4
2018-05-01,201.425,2018,5,20653.518,17113.666666666668,74770.0,4.529999999999999,4.833333333333333,236.8
2018-06-01,202.233,2018,6,20726.124,17167.333333333332,75205.0,4.58,4.566666666666666,239.2
2018-07-01,202.913,2018,7,20798.73,17221.0,75640.0,4.63,4.3,239.6
2018-08-01,203.689,2018,8,20838.442333333332,16941.333333333332,76075.0,4.68,3.6333333333333333,239.4
2018-09-01,204.349,2018,9,20878.154666666665,16661.666666666668,76510.0,4.73,2.966666666666667,240.0
2018-10-01,205.112,2018,10,20917.867,16382.0,76945.0,4.78,2.3,238.7
2018-11-01,205.669,2018,11,20979.955666666665,16526.0,77380.0,4.83,2.7333333333333334,238.8
2018-12-01,206.156,2018,12,21042.044333333335,16670.0,77815.0,4.71,3.1666666666666665,238.3
2019-01-01,206.539,2019,1,21104.133,16814.0,78250.0,4.59,3.6,238.5
2019-02-01,206.862,2019,2,21197.680333333334,16886.333333333332,78117.5,4.47,4.2,238.1
2019-03-01,207.066,2019,3,21291.22766666667,16958.666666666668,77985.0,4.35,4.800000000000001,238.1
2019-04-01,207.513,2019,4,21384.775,17031.0,77852.5,4.23,5.4,237.2
2019-05-01,208.136,2019,5,21487.944,17033.333333333332,77720.0,4.11,5.566666666666667,237.3
2019-06-01,208.649,2019,6,21591.113,17035.666666666668,77587.5,3.99,5.733333333333333,236.3
2019-07-01,209.287,2019,7,21694.282,17038.0,77455.0,3.87,5.9,235.6
2019-08-01,210.093,2019,8,21763.65133333333,16729.666666666668,77322.5,3.75,5.233333333333333,234.4
2019-09-01,210.904,2019,9,21833.020666666667,16421.333333333332,77190.0,3.6878571428571427,4.566666666666666,234.4
2019-10-01,211.791,2019,10,21902.39,16113.0,77057.5,3.625714285714286,3.9,233.8
2019-11-01,212.787,2019,11,21837.097666666665,16064.333333333334,76925.0,3.5635714285714286,1.4333333333333331,232.8
2019-12-01,213.933,2019,12,21771.805333333334,16015.666666666666,76792.5,3.5014285714285713,-1.0333333333333337,232.2
2020-01-01,214.994,2020,1,21706.513,15967.0,76660.0,3.439285714285714,-3.5,233.4
2020-02-01,215.864,2020,2,21108.722999999998,15270.0,76632.5,3.3771428571428572,-12.066666666666666,234.6
2020-03-01,216.402,2020,3,20510.933,14573.0,76605.0,3.315,-20.633333333333333,236.3
2020-04-01,216.812,2020,4,19913.143,13876.0,76577.5,3.2528571428571427,-29.2,234.3
2020-05-01,216.98,2020,5,20491.308666666668,14000.0,76550.0,3.190714285714286,-6.233333333333331,233.3
2020-06-01,217.616,2020,6,21069.47433333333,14124.0,76522.5,3.1285714285714286,16.733333333333338,234.8
2020-07-01,219.378,2020,7,21647.64,14248.0,76495.0,3.0664285714285713,39.7,237.0
2020-08-01,222.391,2020,8,21773.260666666665,14647.0,76467.5,3.0042857142857144,28.833333333333336,240.9
2020-09-01,225.837,2020,9,21898.881333333335,15046.0,76440.0,2.942142857142857,17.96666666666667,246.9
2020-10-01,229.753,2020,10,22024.502,15445.0,76412.5,2.88,7.1,246.4
2020-11-01,233.208,2020,11,22216.396333333334,15497.333333333334,76385.0,2.9299999999999997,8.366666666666667,244.3
2020-12-01,236.486,2020,12,22408.290666666668,15549.666666666666,76357.5,2.98,9.633333333333333,248.0
